0,0,0,128,176,80,63,0,0,0,0,63,80,176,128,0,0,0,
65,66,0,128,144,128,0,0,0,0,0,0,128,160,128,0,65,66,
101,101,117,e3,e3,133,101,101,101,101,101,101,117,e2,e2,133,101,101,
37,37,37,0,0,37,37,37,37,37,37,37,37,0,0,37,37,37,
37,37,37,0,0,37,37,37,37,37,37,37,37,0,0,37,37,37,
0,0,0,128,128,0,0,0,112,112,0,0,0,128,128,0,0,0,
65,66,0,128,128,160,160,160,80,80,144,144,144,128,128,0,65,66,
0,0,133,101,101,101,101,117,e3,e2,133,101,101,101,101,117,0,0,
0,0,37,37,37,37,37,37,0,0,37,37,37,37,37,37,0,0,
65,66,37,0,0,0,0,144,80,80,160,0,0,0,0,37,65,66,
0,0,37,65,66,133,101,117,e3,e2,133,101,117,65,66,37,0,0,
65,66,37,0,0,37,37,37,0,0,37,37,37,0,0,37,65,66,
0,0,37,65,66,37,0,0,0,0,0,0,37,65,66,37,0,0,
65,66,37,0,0,37,0,0,0,0,0,0,37,0,0,37,65,66,
0,0,37,65,66,37,0,0,0,0,0,0,37,65,66,37,0,0,
65,66,37,0,0,37,0,0,0,0,0,0,37,0,0,37,65,66,
0,0,37,65,66,37,0,0,0,0,0,0,37,65,66,37,0,0
1
49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,
0,0,49,50,0,0,0,0,0,0,0,0,0,0,49,50,0,0,
49,50,0,0,15,16,0,0,0,0,0,0,12,13,14,0,49,50,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,
0,0,0,49,50,0,0,0,0,0,0,0,0,49,50,0,0,0,
49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,
0,0,0,49,50,0,0,0,0,0,0,0,0,49,50,0,0,0,
49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,
0,0,0,49,50,0,0,0,0,0,0,0,0,49,50,0,0,0,
49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,
0,0,0,49,50,0,0,0,0,0,0,0,0,49,50,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
